fotograma;tipo_objeto;confianza_deteccion;x1;y1;x2;y2;matrícula_detectada;x1_matrícula;y1_matrícula;x2_matrícula;y2_matrícula;texto_matricula_ocr;tiempo_inferencia_yolo;tiempo_inferencia_easyocr
167;car;0.9017208218574524;178;1;638;285;NO;178;1;635;285;;0.000097;0.089129
168;car;0.9006354808807373;199;1;639;286;NO;199;1;638;285;;0.000084;0.100808
169;car;0.915877103805542;213;1;639;290;NO;213;1;638;290;;0.000097;0.027310
170;car;0.9229140877723694;225;1;639;290;NO;225;1;638;290;;0.000084;0.026300
176;car;0.9052446484565735;52;116;630;329;NO;52;116;629;329;;0.000158;0.102378
177;car;0.9145389795303345;49;116;626;329;NO;49;116;626;329;;0.000088;0.026033
178;car;0.9145575165748596;48;115;626;329;NO;48;115;625;329;;0.000185;0.025824
179;car;0.9116212129592896;47;116;628;330;NO;47;116;628;330;;0.000092;0.025555
180;car;0.9231743216514587;46;114;627;330;NO;46;114;627;330;;0.000094;0.025180
181;car;0.9073314070701599;46;114;627;330;NO;46;114;627;330;;0.000087;0.026154
182;car;0.9142369627952576;48;113;629;330;NO;48;113;629;330;;0.000082;0.025550
183;car;0.9141827821731567;51;112;631;330;NO;51;112;631;330;;0.000080;0.025962
184;car;0.9059487581253052;52;113;633;331;NO;52;113;632;331;;0.000081;0.025807
185;car;0.8934940099716187;55;115;630;331;NO;55;115;630;331;;0.000079;0.089507
186;car;0.9002460837364197;56;117;630;336;NO;56;117;630;336;;0.000083;0.026043
187;car;0.9064624905586243;58;119;629;338;NO;58;119;628;338;;0.000083;0.024477
188;car;0.9180519580841064;61;121;630;339;NO;61;121;629;339;;0.000082;0.024785
189;car;0.9209266901016235;62;123;625;341;NO;62;123;625;341;;0.000080;0.024669
190;car;0.9191040992736816;65;124;609;342;NO;65;124;609;342;;0.000082;0.086855
191;car;0.9190974831581116;67;128;602;343;NO;67;129;602;343;;0.000134;0.022663
192;car;0.9146283268928528;68;132;596;344;NO;68;132;596;344;;0.000104;0.022662
193;car;0.9135431051254272;71;134;594;344;NO;71;134;594;344;;0.000152;0.023071
194;car;0.9091626405715942;76;134;592;344;NO;76;134;591;344;;0.000093;0.022550
195;car;0.9031426906585693;78;136;586;344;NO;78;136;586;344;;0.000098;0.095200
196;car;0.9066833257675171;79;137;579;345;NO;79;137;578;345;;0.000081;0.021939
197;car;0.90086430311203;86;139;570;345;NO;86;139;569;345;;0.000092;0.022269
198;car;0.9148106575012207;94;141;563;343;NO;94;141;562;343;;0.000084;0.088705
199;car;0.9302836060523987;98;142;556;341;NO;98;142;555;341;;0.000086;0.021304
200;car;0.9168203473091125;102;145;546;339;NO;102;146;545;339;;0.000092;0.087362
201;car;0.9194830060005188;103;147;534;338;NO;103;147;533;338;;0.000088;0.086290
202;car;0.9250547289848328;103;149;521;335;NO;103;149;520;335;;0.000096;0.019078
203;car;0.907398521900177;302;127;501;276;NO;304;127;500;276;;0.000083;0.010346
204;car;0.8913750052452087;302;128;502;279;NO;304;128;502;279;;0.000093;0.010806
205;car;0.9069492220878601;301;126;502;279;SÍ;303;126;501;279;E6JJP;0.000147;0.042950
206;car;0.8983342051506042;301;125;504;280;NO;303;125;503;280;;0.000341;0.011949
207;car;0.8913142681121826;300;125;504;281;SÍ;302;125;503;281;ETJ6JJP;0.000097;0.030592
208;car;0.9042971730232239;299;125;504;282;SÍ;300;125;503;282;ETJ6JJP;0.000134;0.023845
209;car;0.8904030323028564;296;124;504;285;SÍ;297;125;503;285;763P;0.000099;0.042744
210;car;0.9129000306129456;294;124;504;286;SÍ;296;125;503;286;D;0.000088;0.029765
211;car;0.9123865365982056;291;124;502;287;SÍ;293;124;501;287;ETI6JJP;0.000087;0.036965
